Released,Model,Family,Discontinued,Future release,Source link
"February 15, 1996",Apple Network Server 700/150,Network Server,"April 1, 1997",false,https://en.wikipedia.org/wiki/Apple_Network_Server_700/150
"February 19, 1996",Color StyleWriter 2500,StyleWriter,[?],false,https://en.wikipedia.org/wiki/Color_StyleWriter_2500
"February 26, 1996",Workgroup Server 8550,Workgroup Server,"April 21, 1997",false,https://en.wikipedia.org/wiki/Power_Macintosh_8500
"April 22, 1996",Power Macintosh 8200,Power Macintosh,"September 19, 1996",false,https://en.wikipedia.org/wiki/Power_Macintosh_7200
"October 01, 1996",Color LaserWriter 12/660 PS,LaserWriter,[?],false,https://en.wikipedia.org/wiki/Color_LaserWriter_12/660_PS
"February 17, 1997",Power Macintosh 6500,Power Macintosh,"March 14, 1998",false,https://en.wikipedia.org/wiki/Power_Macintosh_6500
"February 17, 1997",Power Macintosh 7220,Power Macintosh,[?],false,https://en.wikipedia.org/wiki/Power_Macintosh_7220
"February 17, 1997",Power Macintosh 7300,Power Macintosh,"November 10, 1997",false,https://en.wikipedia.org/wiki/Power_Macintosh_7300
"February 17, 1997",Power Macintosh 8600,Power Macintosh,"February 17, 1998",false,https://en.wikipedia.org/wiki/Power_Macintosh_8600
"February 17, 1997",Power Macintosh 9600,Power Macintosh,"March 17, 1998",false,https://en.wikipedia.org/wiki/Power_Macintosh_9600
"February 17, 1997",PowerBook 3400,PowerBook,"March 14, 1998",false,https://en.wikipedia.org/wiki/PowerBook_3400
"April 21, 1997",Workgroup Server 9650,Workgroup Server,"March 2, 1998",false,https://en.wikipedia.org/wiki/Power_Macintosh_9600
"August 05, 1997",Apple ColorSync/AppleVision 750 Display,Display,"November 10, 1998",false,https://en.wikipedia.org/wiki/Apple_ColorSync/AppleVision_750_Display
"November 10, 1997",Power Macintosh G3 minitower,Power Macintosh,"January 5, 1999",false,https://en.wikipedia.org/wiki/Power_Macintosh_G3
"November 10, 1997",PowerBook G3,PowerBook G3,"March 14, 1998",false,https://en.wikipedia.org/wiki/PowerBook_G3
"January 05, 1999",Macintosh Server G3 (Blue & White),Macintosh Server,"August 31, 1999",false,https://en.wikipedia.org/wiki/Power_Macintosh_G3_(Blue_%26_White)
"July 21, 1999","AirPort (802.11b, ""Graphite"")",AirPort,"November 13, 2001",false,https://en.wikipedia.org/wiki/AirPort#AirPort_Base_Station
"July 19, 2000","Cinema Display (22"")(ADC)",Displays,"January 28, 2003",false,https://en.wikipedia.org/wiki/Apple_Cinema_Display
"July 19, 2000",Apple Pro Speakers(USB),Speakers,"January 9, 2001",false,https://en.wikipedia.org/wiki/Apple_speakers
